,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
132585,19566,39.68490108,-104.98247868,S Logan St,80310030014004
102932,33352,39.71488471,-104.98296134,E Bayaud Ave,80310028022003
67930,306975,39.73600363,-105.03997025,N Quitman St,80310007012012
226598,125875,39.70476392,-105.04572798,W Gill Pl,80310045043007
140176,49882,39.69377361,-105.02327855,S Federal Blvd,80310014014005
93912,190732,39.7537154,-104.96186854,N Vine St,80310023003001
251307,101159,39.68737243,-104.9241436,S Grape St,80310051023012
245237,190264,39.69814411,-105.04055025,S Perry St,80310045031010
210653,249135,39.75790817,-105.00254627,Bassett St,80310017011005
288960,188648,39.64666099,-104.91622431,S Hillcrest Dr,80310040041003
274749,97177,39.7561305,-104.92908484,N Elm St,80310041032010
2702,61460,39.74632716,-104.99676394,15th St,80310017022002
289804,146556,39.71536984,-104.89903066,S Syracuse St,80310044051005
53708,286068,39.77342932,-104.98086705,Ringsby Ct,80310015003082
236074,252205,39.74375358,-104.96003664,N York St,80310031021022
128307,10108,39.70769562,-104.9538722,Polo Club Dr,80310039011027
50745,123820,39.77496482,-104.94673086,N Madison St,80310035004024
64865,4685,39.75878691,-105.02937544,W 29th Ave,80310003032012
160719,121075,39.71763555,-104.97491781,N Corona St,80310028031006
45277,127282,39.74706639,-104.93264740000002,E Montview Blvd,80310042015000
165595,61993,39.63974244,-105.05048329,W Quincy Ave,80310055021047
88405,62767,39.7343305,-104.99790554,N Inca St,80310018001014
97569,7337,39.75388386,-104.96630954,N Williams St,80310023003005
83497,56732,39.72863517,-104.97507684,N Ogden St,80310027022008
279751,227484,39.62882695,-105.03421539,W Saratoga Ave,80310055031009
166667,93939,39.670606899999996,-104.99145807,S Cherokee St,80310014032030
283792,151305,39.75129113,-104.91909476,N Jasmine St,80310041044009
16177,263241,39.76418403,-104.99835391,Rockmont Dr,80310011021022
181373,57062,39.75638611,-105.00317853,Bassett St,80310017011007
25447,232657,39.75638652,-104.99927983,19th St,80310017011010
313993,248912,39.78478703,-104.79915889,Green Valley Ranch Blvd,80310083881063
155754,121379,39.72287355,-104.97491416,N Ogden St,80310028012001
232138,233401,39.70039185,-104.91043159,S Niagara St,80310050022002
232184,284019,39.67725796,-104.93990173,S Colorado Blvd,80310053001017
144899,95388,39.70819174,-105.01056754,W Alaska Pl,80310013021015
68778,33703,39.76327105,-105.04860011,W Moncrieff Pl,80310003024009
271256,123280,39.7377445,-104.92494968,N Grape St,80310043021011
277997,158885,39.79455776,-104.82515848,N Billings St,80310083052012
163936,116964,39.65669821,-104.90584785,E Girard Ave,80310068122005
93258,119440,39.74103773,-105.02977343,N Irving St,80310007022010
