,BLKID,MAF_NAME,TLID_match
0,80310030014004,S Logan St,177332287
1,80310028022003,E Bayaud Ave,177331624
4,80310014014005,S Federal Blvd,612681096
6,80310051023012,S Grape St,177340246
7,80310045031010,S Perry St,177327054
8,80310017011005,Bassett St,617188103
9,80310040041003,S Hillcrest Dr,606048020
11,80310017022002,15th St,177304418
12,80310044051005,S Syracuse St,636169309
13,80310015003082,Ringsby Ct,177304909
15,80310039011027,Polo Club Dr,177631106
17,80310003032012,W 29th Ave,177300930
20,80310055021047,W Quincy Ave,177329142
24,80310055031009,W Saratoga Ave,177329974
25,80310014032030,S Cherokee St,177332939
27,80310011021022,Rockmont Dr,177625406
28,80310017011007,Bassett St,612844562
29,80310017011010,19th St,177304072
32,80310050022002,S Niagara St,177340371
33,80310053001017,S Colorado Blvd,177340878
34,80310013021015,W Alaska Pl,177330424
38,80310068122005,E Girard Ave,177343529
40,80310083903000,E 45th Ave,640654693
41,80310040024003,S Steele St,177340763
42,80310040062008,S Clayton St,177340541
44,80310039011027,E Alameda Ave,177338395
45,80310030031019,S Franklin St,177332599
46,80310083882006,E 40th Ave,640657413
47,80310029013017,E Mississippi Ave,177392495
48,80310030031012,S Lafayette St,177332578
52,80310156004008,S Federal Blvd,177329466
53,80310040024002,S Cook St,177340772
57,80310083882006,E 40th Ave,640657413
61,80310083903011,N Andes Way,606065118
63,80310069013005,E Iliff Ave,177375611
64,80310068096003,S Quebec St,639410360
65,80310067011029,E Chenango Ave,634911072
66,80310040052008,S Columbine St,638611324
67,80310039022032,E Mexico Ave,177339056
68,80310068131001,S Havana St,177515764
69,80310083892007,E Burlington Pl,644977612
72,80310083871006,E 50th Ave,177627454
73,80310068114010,S Tamarac Dr,612675500
74,80310030013000,S Corona St,177332373
76,80310040062015,E Evans Ave,177340531
77,80310038004002,E 1st Ave,177338386
78,80310008001031,W 10th Ave,177301947
80,80310002022016,W Scott Pl,177301076
82,80310045031009,S Raleigh St,177327032
85,80310016002026,24th St,606096566
86,80310030013007,S Corona St,177332406
87,80310023001011,E 30th Ave,177630965
88,80310013014013,S Canosa Ct,177327852
89,80310069015008,S Norman Ct,177341712
90,80310041071001,N Tamarac St,645173246
92,80310041071111,E 24th Dr,617527862
94,80310041071001,N Willow St,645173179
95,80310120102003,S Ammons St,641682341
96,80310013015006,S Decatur St,177327816
97,80310017015008,Blake St,177623964
98,80310017021015,California St,177304550
99,80310016002039,22nd St,177304453
101,80310070893003,S Alton Way,612862068
102,80310013022002,S Lipan St,177330525
105,80310034021012,S Gilpin St,177332432
106,80310068121011,S Locust St,177631442
108,80310030015010,S Lincoln St,177331383
109,80310017022020,Lawrence St,640072559
110,80310016002053,Arapahoe St,177304498
111,80310120142002,S Balsam St,640651505
112,80310046034006,S Patton Ct,177328817
115,80310041061164,N Clinton St,641117333
116,80310040021011,S Garfield St,177340971
117,80310119031002,S Newland St,177321885
119,80310053001037,E Yale Ave,639411049
122,80310004022005,W 33rd Ave,177301203
125,80310003034000,W 38th Ave,177300675
126,80310050012009,S Krameria St,177339945
127,80310045043009,W Gill Pl,177326923
129,80310039023020,S Columbine St,177338937
130,80310050011018,S Locust St,639310807
133,80310156001001,S Bryant St,634594691
137,80310070881005,S Valentia St,177628007
139,80310083893031,N Kirk Ct,606063614
141,80310068042020,E Union Ave,606028427
143,80310070892003,S Alton Way,177343099
144,80310015003032,31st St,177303834
148,80310040041022,S Ivanhoe St,177342003
151,80310045032001,S Utica St,177326942
152,80310041071135,E 28th Ave,606060816
157,80310004023022,W 28th Ave,177301343
158,80310039011015,E Alameda Ave,177338402
161,80310041071001,E 51st Ave,646543405
162,80310083882000,E 44th Ave,644992349
163,80310070884008,E Mississippi Ave,611455594
165,80310120141016,S Gar Way,636050169
166,80310050012008,S Jasmine St,177339937
168,80310068131000,S Elmira St,642107183
174,80310020001031,W 12th Ave,177304690
176,80310040063003,S Columbine St,177340570
177,80310017021012,Curtis St,177304431
178,80310040021000,S Colorado Blvd,177340920
180,80310015003000,W 48th Ave,606003818
182,80310041061044,E 39th Ave,177396006
183,80310050012022,S Ivy Way,177340292
187,80310083892047,E 49th Pl,606064805
188,80310024032014,California St,177304557
189,80310016002040,Walnut St,177303964
190,80310070894006,E Alameda Ave,630300357
192,80310017011013,Wynkoop St,177304079
194,80310003025012,W 36th Ave,177299750
196,80310017022001,14th St,177304152
200,80310032012001,E 11th Ave,177306131
201,80310039013019,E Tennessee Ave,177338806
204,80310041061245,E 27th Ave,606079661
205,80310070372006,S Galena Way,606037796
206,80310017022002,15th St,177304418
207,80310052001004,E Minnesota Dr,177340340
208,80310017021032,17th St,612631734
212,80310004026011,W 36th Ave,177300894
213,80310009032011,S Grove St,177327561
215,80310036013014,E 33rd Ave,177305403
218,80310041061003,E 52nd Dr,645173207
219,80310016002048,Market St,177304452
220,80310051024008,E Asbury Ave,177370683
223,80310017021007,Arapahoe St,177304466
224,80310083902029,E 40th Ave,177627504
225,80310120142007,S Balsam Way,177625203
232,80310021002010,W Maple Ave,177330852
233,80310004013009,W 39th Ave,177301057
237,80310014032009,S Santa Fe Dr,177332890
239,80310068042020,E Union Ave,606028427
242,80319800001136,N Biscay St,606066735
244,80310083893073,N Perth Ct,617528534
245,80310120103005,W Grant Ranch Blvd,177627931
248,80310004026005,W 36th Ave,177301168
253,80310068103000,S Wabash St,177344046
254,80310040033008,S Clermont Dr,177341018
255,80310003034006,W 35th Ave,177300800
256,80310014014008,S Canosa Ct,177328239
257,80310047001008,S Quitman St,177328821
258,80310044033005,E 22nd Ave,177313350
260,80310034022004,S High St,177332023
261,80310083881073,E 51st Dr,606035100
262,80310068133000,E Yale Ave,177627972
263,80310016002029,Walnut St,177304973
268,80310029023011,S Clarkson St,177332180
269,80310029012003,S Grant St,177331650
270,80310157002008,S Mabry Ct,177329487
273,80310069013005,E Iliff Ave,177375611
274,80310041071001,N Valentia St,645173231
278,80310153002003,S Glencoe St,177340095
280,80310016003029,Champa St,177305492
282,80310055021045,W Princeton Cir,177329924
283,80310011023022,17th St,177303550
285,80310068092030,S Poplar St,177343823
287,80310040052006,S Josephine St,638611326
290,80310017022017,14th St,177304421
291,80310011021022,Rockmont Dr,177625406
292,80310034023022,S Gaylord St,177332617
293,80310017022019,14th St,177304412
295,80310014021007,S Raritan St,177331110
296,80310055033010,W Stanford Ave,177329265
299,80310050022009,S Oneida St,612225557
305,80310040031006,E Dartmouth Ave,177341560
306,80310050022009,S Oneida St,612225557
308,80310083882000,E 47th Dr,640740617
309,80310037022001,E 12th Ave,177311086
310,80310046033002,S King St,177329383
311,80310014031000,S Acoma St,177331274
312,80310016003024,Arapahoe St,177305488
313,80310070893003,S Alton Way,612862560
314,80310016002048,Market St,177304452
315,80310030042031,S Lafayette St,177334036
318,80310044041003,E 14th Ave,177313526
321,80310044054069,E Lowry Blvd,627214923
325,80310014032028,S Delaware St,177332933
326,80310017011009,18th St,617188198
328,80310046011004,S Tennyson St,177327034
329,80310050022010,E Arizona Ave,612676098
330,80310119031013,S Saulsbury St,177321864
331,80310003025026,W 34th Ave,177299514
